GPT-4 Accuracy	ChatGPT Accuracy	BERT Accuracy	Author	Title	Year	Bing Hits	Google Hits	C4 Hits	Pile Hits	Source	Sub-source	ChatGPT predicted year	GPT-4 predicted year	ID
0.43	0.17	0	Douglas Adams	The Hitchhiker's Guide to the Galaxy	1979	5.4	269.3	7.8	13.4	Genre Fiction	SF/Fantasy	1980	1979	adams_the_hitchhikers_guide_to_the_galaxy_The_Hitchhiker_s_Guide_to_the_Galaxy
0.42	0.08	0	Oscar Wilde	The Picture of Dorian Gray	1890	6.7	1501.6	6.2	32.4	pre-1923 LitBank		1890	1890	174_the_picture_of_dorian_gray
0.42	0.03	0	Henry James	The Turn of the Screw	1898	0.9	14.9	2.8	21.4	pre-1923 LitBank		1898	1898	209_the_turn_of_the_screw
0.41	0.2	0	Edgar Rice Burroughs	Tarzan of the Apes	1912	0.3	4.4	1.2	8.5	pre-1923 LitBank		1912	1912	78_tarzan_of_the_apes
0.4	0.06	0	Charles Dickens	Great Expectations	1861	2.7	163.6	5.1	15.6	pre-1923 LitBank		1861	1861	1400_great_expectations
0.37	0.06	0	H. G. Wells	The Invisible Man: A Grotesque Romance	1897	1.5	76.9	3.8	11.8	pre-1923 LitBank		1897	1897	5230_the_invisible_man_a_grotesque_romance
0.36	0.02	0.02	James Joyce	Dubliners	1914	4.1	2917.9	10.1	18.7	pre-1923 LitBank		1914	1914	2814_dubliners
0.34	0.05	0	Charles Dickens	David Copperfield	1849	2.8	13.4	3.9	14.8	pre-1923 LitBank		1850	1850	766_david_copperfield
0.33	0.02	0.01	Ann Ward Radcliffe	The Mysteries of Udolpho	1794	0.1	1.4	0	10.1	pre-1923 LitBank		1794	1794	3268_the_mysteries_of_udolpho
0.3	0.16	0	Chinua Achebe	Things Fall Apart	1959	7	253.3	1.7	2.7	Global	Africa	1958	1958	achebe_things_fall_apart_Things_Fall_Apart
0.28	0.12	0	J. R. R. Tolkien and Christopher Tolkien	The Silmarillion	1977	6.3	4704.8	8.9	5.4	Bestsellers		Unknown (This passage is from J.R.R. Tolkien's "The Silmarillion," which is a work of fiction set in a mythical world and does not correspond to any specific year in human history.)	1954	tolkien_silmarillion_The_Silmarillion
0.28	0.09	0	James Joyce	Ulysses	1922	4.1	965.8	6.4	7.4	pre-1923 LitBank		1922	1922	4300_ulysses
0.27	0.13	0	Ray Bradbury	Fahrenheit 451	1953	16.4	375.4	21.5	3.9	Genre Fiction	SF/Fantasy	1953	1953	bradbury_fahrenheit_451_Fahrenheit_451
0.27	0.13	0	George R.R. Martin	A Game of Thrones	1996	2.6	41.3	2.7	5.6	Genre Fiction	SF/Fantasy	1996	1996	martin_a_song_of_ice_and_fire_A_Game_of_Thrones
0.26	0.05	0.01	Dan Brown	The Da Vinci Code	2003	2.5	4.4	1.2	2.4	Bestsellers		2003	2003	brown_the_da_vinci_code_The_Da_Vinci_Code
0.26	0.08	0	Frank Herbert	Dune	1965	0.2	2.7	0.2	0	Genre Fiction	SF/Fantasy	1965	1965	herbert_dune_Dune
0.25	0.2	0.01	Zora Neale Hurston	Their Eyes Were Watching God	1937	7.6	2278.7	0.6	4.7	BBIP		1937	1937	hurston_their_eyes_were_watching_god_Their_Eyes_Were_Watching_God
0.25	0.04	0	Nathaniel Hawthorne	The House of the Seven Gables	1851	0.3	3	1.2	15.5	pre-1923 LitBank		1692	1851	77_the_house_of_the_seven_gables
0.25	0.03	0	George Eliot	Silas Marner	1861	2.1	29.2	5	9.7	pre-1923 LitBank		1861	1861	550_silas_marner
0.25	0.01	0	Edith Wharton	The Age of Innocence	1920	1.2	20.9	2.4	16.3	pre-1923 LitBank		1920	1920	541_the_age_of_innocence
0.25	0.14	0	Harper Lee	To Kill a Mockingbird	1961	4	3290.1	2.5	1.2	Pulitzer		1960	1960	lee_to_kill_a_mockingbird_To_Kill_a_Mockingbird
0.24	0.03	0.03	Ian Fleming	Casino Royale	1953	0.1	8	1.1	5.8	Genre Fiction	Action/Spy	1953	1953	fleming_casino_royale_Casino_Royale
0.24	0	0	W. Somerset (William Somerset) Maugham	Of Human Bondage	1915	1	43.5	1.2	10.2	pre-1923 LitBank		1915	1915	351_of_human_bondage
0.23	0.09	0	Thomas Hardy	Tess of the d'Urbervilles: A Pure Woman	1891	3.3	68.8	3.3	14.9	pre-1923 LitBank		1891	1891	110_tess_of_the_durbervilles_a_pure_woman
0.23	0.05	0	Henry James	The Ambassadors	1903	0.1	2.7	0.1	10	pre-1923 LitBank		1903	1903	432_the_ambassadors
0.22	0.13	0	William Gibson	Neuromancer	1984	1.7	30.1	0.5	2.2	Genre Fiction	SF/Fantasy	1984	1984	gibson_neuromancer_Neuromancer
0.22	0	0	H. Rider (Henry Rider) Haggard	King Solomon's Mines	1885	0.5	5.4	0.3	6.6	pre-1923 LitBank		1885	1885	2166_king_solomons_mines
0.21	0.02	0	Theodore Dreiser	Sister Carrie: A Novel	1900	0.8	6.7	2.7	10.9	pre-1923 LitBank		1900	1900	233_sister_carrie_a_novel
0.2	0.1	0	Orson Scott Card	Ender's Game	1985	1.7	2.6	0	1.3	Genre Fiction	SF/Fantasy	1985	1985	card_enders_game_Ender_s_Game
0.2	0.03	0	Charles Dickens	Bleak House	1852	0.2	2.8	5.2	15.4	pre-1923 LitBank		Unknown (as there is no clear indication of a specific year in the passage)	1853	1023_bleak_house
0.2	0.04	0	Anna Sewell	Black Beauty	1877	1.4	10355.3	4.1	5.8	pre-1923 LitBank		1887	1877	271_black_beauty
0.19	0.12	0	Aldous Huxley	Brave New World	1932	5.4	70.1	5.6	7.4	Genre Fiction	SF/Fantasy	1932	1932	huxley_brave_new_world_Brave_New_World
0.19	0.07	0	James Fenimore Cooper	The Last of the Mohicans; A narrative of 1757	1826	1.1	4.1	1.1	10.6	pre-1923 LitBank		1757	1826	940_the_last_of_the_mohicans_a_narrative_of_1757
0.19	0.06	0	Wilkie Collins	The Moonstone	1868	0.1	2.3	0.2	10.6	pre-1923 LitBank		1868	1868	155_the_moonstone
0.19	0	0	F. Scott (Francis Scott) Fitzgerald	The Beautiful and Damned	1922	0	2.2	0.1	13	pre-1923 LitBank		1922	1920	9830_the_beautiful_and_damned
0.18	0.05	0	Elizabeth Cleghorn Gaskell	North and South	1855	0.1	15.4	0.2	7.7	pre-1923 LitBank		1855	1855	4276_north_and_south
0.18	0.04	0	Emmuska Orczy, Baroness Orczy	The Scarlet Pimpernel	1905	0.8	4.4	0.7	6	pre-1923 LitBank		1905	1905	60_the_scarlet_pimpernel
0.18	0.07	0	Margaret Mitchell	Gone with the Wind	1937	0.7	4053.4	0.5	2	Pulitzer		1936	1936	mitchell_gone_with_the_wind_Gone_with_the_Wind
0.17	0.05	0	Philip K. Dick	Do Androids Dream of Electric Sheep?	1968	0.2	34.1	1.889	0.1	Genre Fiction	SF/Fantasy	1968	1982	dick_do_androids_dream_of_electric_sheep_Do_Androids_Dream_of_Electric_Sheep?
0.17	0.03	0	Anne Brontë	The Tenant of Wildfell Hall	1848	0.1	7.9	2.6	4.8	pre-1923 LitBank		1848	1848	969_the_tenant_of_wildfell_hall
0.17	0.08	0	E. M. (Edward Morgan) Forster	A Room with a View	1908	1.1	4	2	9.3	pre-1923 LitBank		1908	1908	2641_a_room_with_a_view
0.16	0.06	0.05	Dan Brown	The Lost Symbol	2009	0.2	2.1	0.2	0.8	Bestsellers		2010	2009	brown_the_lost_symbol_The_Lost_Symbol
0.16	0.02	0.01	William Makepeace Thackeray	Vanity Fair	1848	0.4	4.6	0.9	13.1	pre-1923 LitBank		1850	1850	599_vanity_fair
0.16	0.03	0	George Eliot	Middlemarch	1871	0.5	40.1	2.3	9.9	pre-1923 LitBank		1871	1874	145_middlemarch
0.16	0.05	0.01	Henry James	Daisy Miller: A Study	1879	1.8	488.1	2.1	14.8	pre-1923 LitBank		1878	1878	208_daisy_miller_a_study
0.15	0.04	0.04	Dan Brown	Inferno	2013	0.2	1.7	0.4	2.4	Bestsellers		2025	2013	brown_inferno_Inferno
0.15	0.08	0.01	Veronica Roth	Divergent	2014	0.5	3.2	0.1	3.4	Bestsellers		2011	2011	roth_divergent_Divergent
0.15	0.07	0	Kate Chopin	The Awakening, and Selected Short Stories	1899	6.3	482.3	1.8	13.4	pre-1923 LitBank		1899	1899	160_the_awakening_and_selected_short_stories
0.15	0.03	0	Samuel Butler	The Way of All Flesh	1903	0	2.4	0.2	5.1	pre-1923 LitBank		1920	1885	2084_the_way_of_all_flesh
0.15	0.04	0	John Steinbeck	The Grapes of Wrath	1940	1.7	39.3	0.3	1.1	Pulitzer		1939	1939	steinbeck_the_grapes_of_wrath_The_Grapes_of_Wrath
0.14	0	0	D. H. (David Herbert) Lawrence	Sons and Lovers	1913	0.8	3.6	1.4	14.4	pre-1923 LitBank		1910	1915	217_sons_and_lovers
0.13	0.05	0	James Kahn	Return of the Jedi	1983	2.9	51.9	3.4	9.4	Bestsellers		1983	1983	kahn_return_of_the_jedi_Return_of_the_Jedi
0.13	0.02	0.01	D. H. Lawrence	Lady Chatterley's Lover	1928	0.7	38.4	0.5	9.5	Genre Fiction	Romance	1928	1928	lawrence_three_complete_novels_Lady_Chatterley_s_Lover
0.13	0.01	0	Henry Fielding	History of Tom Jones, a Foundling	1749	0.6	3.5	0.4	10.1	pre-1923 LitBank		1749	1749	6593_history_of_tom_jones_a_foundling
0.13	0.04	0	Jane Austen	Persuasion	1818	0.9	2428.5	5.4	16.1	pre-1923 LitBank		1815	1817	105_persuasion
0.13	0.03	0	Alex Haley	Roots	1977	0	1	0.1	5.2	Pulitzer		1876	1976	haley_roots_Roots
0.12	0.02	0	Thomas Hardy	Far from the Madding Crowd	1874	0.5	21.1	3	8.1	pre-1923 LitBank		1874	1874	27_far_from_the_madding_crowd
0.11	0.11	0	Irving Stone	The Agony and the Ecstasy	1961	0	1.2	0	0	Bestsellers		1546	1961	stone_the_agony_and_the_ecstasy_The_Agony_and_the_Ecstasy
0.11	0.01	0.03	Ian Fleming	From Russia with Love	1957	0.1	3	0.1	5	Genre Fiction	Action/Spy	1949	1963	fleming_from_russia_with_love_From_Russia_with_Love
0.11	0.04	0	Madeleine L'Engle	A Wrinkle in Time	1962	2.7	8.2	2.3	1.9	Genre Fiction	SF/Fantasy	1962	1962	lengle_a_wrinkle_in_time_A_Wrinkle_in_Time
0.11	0.04	0.01	Marjorie Kinnan Rawlings	The Yearling	1939	0.1	2.2	0	2	Pulitzer		1938	1940	rawling_the_yearling_The_Yearling
0.1	0.05	0	E. L. Doctorow	Ragtime	1975	0.6	4.2	0.111	2.7	Bestsellers		1906	1975	doctorow_ragtime_Ragtime
0.1	0.05	0	Dashiell Hammett	The Maltese Falcon	1929	0.9	13	1	6.2	Genre Fiction	Mystery/Crime	1930	1930	hammett_the_maltese_falcon_The_Maltese_Falcon
0.1	0.08	0.07	Diana Gabaldon	Outlander	1991	0.1	0.9	0.2	5.1	Genre Fiction	Romance	Outlander is a work of fiction and does not have a specific year associated with it.	1991	gabaldon_outlander_Outlander
0.1	0.02	0	Kazuo Ishiguro	The Remains of the Day	1989	1	2743.4	0.6	2.4	Global	Europe	1952	1989	ishiguro_the_remains_of_the_day_The_Remains_of_the_Day
0.1	0.05	0	Elizabeth Von Arnim	Elizabeth and Her German Garden	1898	0.8	2.4	1.2	3.6	pre-1923 LitBank		1920	1898	1327_elizabeth_and_her_german_garden
0.1	0	0	Charlotte Perkins Gilman	Herland	1915	0.2	3.3	1.5	7.8	pre-1923 LitBank		1915	1915	32_herland
0.1	0.01	0	Alice Walker	The Color Purple	1983	1.2	13.9	0.5	2	Pulitzer		1982	1982	walker_the_color_purple_The_Color_Purple
0.09	0.02	0	Dorothy L. Sayers	The Nine Tailors	1934	1.6	1.4	1.1	2.2	Genre Fiction	Mystery/Crime	1920	1920	sayers_the_nine_tailors_The_Nine_Tailors
0.09	0.03	0	Margaret Atwood	The Handmaid's Tale	1985	0.9	8.5	0	2.7	Genre Fiction	SF/Fantasy	1960	1985	atwood_the_handmaids_tale_The_Handmaid_s_Tale
0.09	0.01	0	Fanny Burney	Evelina, Or, the History of a Young Lady's Entrance into the World	1778	0.4	3.2	0	1.8	pre-1923 LitBank		1778	1778	6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world
0.09	0.02	0	Sarah Orne Jewett	The Country of the Pointed Firs	1896	0.3	3.4	1.7	11.8	pre-1923 LitBank		1896	1896	367_country_of_the_pointed_firs
0.09	0.04	0	Toni Morrison	Beloved	1988	1.9	16.9	0.1	1	Pulitzer		Unknown	1987	morrison_beloved_Beloved
0.08	0.07	0	Joe Nazel	Every Goodbye Ain’t Gone	1982	0	0	0	0	BBIP		1962	1965	nazel_every_goodbye_aint_gone_Every_Goodbye_Ain’t_Gone
0.08	0.06	0.01	Helen Hooven Santmyer	...And Ladies of the Club	1984	0	0	0	0	Bestsellers		1914	1915	santmyer_and_ladies_of_the_club__...And_Ladies_of_the_Club_
0.08	0.02	0	Max Brooks	World War Z: An Oral History of the Zombie War	2006	0.3	2.3	0	1	Genre Fiction	Horror	Unknown (This passage appears to be from a work of fiction set in a fictional world, so it is impossible to determine a specific year.)	2006	brooks_world_war_z_World_War_Z:_An_Oral_History_of_the_Zombie_War
0.08	0.02	0	Irvine Welsh	Trainspotting	1993	1.3	2.6	0	3	Global	Europe	1993	1993	welsh_trainspotting_Trainspotting
0.08	0.02	0	Horatio, Jr. Alger	Ragged Dick, Or, Street Life in New York with the Boot-Blacks	1868	0.2	2.5	0.6	3.2	pre-1923 LitBank		1890	1870	5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks
0.08	0.02	0	H. Rider (Henry Rider) Haggard	Allan Quatermain	1887	0.2	1.9	1.2	5.2	pre-1923 LitBank		1885	1887	711_allan_quatermain
0.08	0.03	0	Robert Penn Warren	All the King's Men	1947	0.1	2690.5	0.6	0.2	Pulitzer		1950	1955	warren_all_the_kings_men_All_the_King_s_Men
0.07	0.02	0	Ralph Ellison	Invisible Man	1952	1.6	4.6	0	5.1	BBIP		1952	1952	ellison_invisible_man_Invisible_Man
0.07	0.01	0	Isaac Asimov	Foundation	1951	0.5	4.1	0.3	3	Genre Fiction	SF/Fantasy	1951	1951	asimov_foundation_i_robot_Foundation
0.07	0.01	0	Anne Rice	Interview with the Vampire	1976	0.3	2864.1	0.2	4.6	Genre Fiction	Horror	1976	1976	rice_interview_with_the_vampire_Interview_with_the_Vampire
0.07	0.04	0.02	Stephen King	The Shining	1977	0.4	4.4	3.8	1.2	Genre Fiction	Horror	1977	1977	king_the_shining_The_Shining
0.07	0.01	0	Helen Fielding	Bridget Jones's Diary	1996	0.4	11.2	0.2	1.9	Genre Fiction	Romance	1996	1996	fielding_bridget_joness_diary_Bridget_Jones_s_Diary
0.07	0	0	Jamie McGuire	Beautiful Disaster	2011	0.3	1.5	0	0	Genre Fiction	Romance	2012	2010	mcguire_beautiful_disaster_Beautiful_Disaster
0.07	0	0	Sandra Cisneros	The House of Mango Street	1984	5.7	1113.2	0.8	2.6	Global	Americas	1978	1955	cisneros_the_house_on_mango_street_The_House_of_Mango_Street
0.07	0.02	0	Mrs. (Margaret) Oliphant	Miss Marjoribanks	1866	0	0.7	0	3	pre-1923 LitBank		1866	1868	41286_miss_marjoribanks
0.07	0	0	E. M. (Edward Morgan) Forster	Howards End	1910	1.5	4.4	1.3	10.3	pre-1923 LitBank		1910	1910	2891_howards_end
0.07	0.03	0	Booth Tarkington	The Magnificent Ambersons	1918	0	1.6	0	4.7	pre-1923 LitBank		1920	1920	8867_the_magnificent_ambersons
0.06	0.03	0	Octavia Butler	Dawn	1987	0.3	3.2	0.1	2.8	BBIP		2025	1985	butler_dawn_Dawn
0.06	0.02	0	Ira Levin	Rosemary's Baby	1967	0.1	0.8	0.1	1	Genre Fiction	Horror	1955	1967	levin_three_by_ira_levin_Rosemary_s_Baby
0.06	0	0	William Peter Blatty	The Exorcist	1971	0.1	1.1	0.1	0.2	Genre Fiction	Horror	1971	1971	blatty_the_exorcist_The_Exorcist
0.06	0.09	0	Neal Stephenson	Snow Crash	1992	0.2	1.1	0.4	0.9	Genre Fiction	SF/Fantasy	1992	1992	stephenson_snow_crash_Snow_Crash
0.06	0.01	0.01	Ben Okri	The Famished Road	1991	0	0.6	0	2.2	Global	Africa	Unknown (as there is no clear indication of the time period in the passage)	1980	okri_the_famished_road_The_Famished_Road
0.06	0.01	0	William Wells Brown	Clotelle: A Tale of the Southern States	1853	0.7	1.5	3.8	6.7	pre-1923 LitBank		1853	1853	2095_clotelle_a_tale_of_the_southern_states
0.06	0.04	0	G. K. (Gilbert Keith) Chesterton	The Man Who Was Thursday: A Nightmare	1908	1.7	49.8	2.4	10.6	pre-1923 LitBank		1908	1908	1695_the_man_who_was_thursday_a_nightmare
0.06	0.02	0	F. Scott (Francis Scott) Fitzgerald	This Side of Paradise	1920	1	3.2	0.4	11.3	pre-1923 LitBank		1920	1920	805_this_side_of_paradise
0.06	0.01	0	Agatha Christie	The Secret Adversary	1922	0.4	2.6	2.1	1.3	pre-1923 LitBank		1922	1922	1155_the_secret_adversary
0.06	0.02	0	Marilynne Robinson	Gilead	2005	2.1	29.2	3.4	1.4	Pulitzer		1938	1980	robinson_gilead_Gilead
0.05	0.03	0	Rudolph Fisher	The Walls of Jericho	1928	0	0	0	0	BBIP		1928	1920	fisher_the_walls_of_jericho_The_Walls_of_Jericho
0.05	0.04	0	Robert James Waller	The Bridges of Madison County	1993	0.3	1.8	0	2.1	Bestsellers		1992	1992	waller_the_bridges_of_madison_county_The_Bridges_of_Madison_County
0.05	0	0	Kathryn Stockett	The Help	2010	1.1	61.7	1.2	1.5	Bestsellers		1962	1960	stockett_the_help_The_Help
0.05	0.02	0	Paula Hawkins	The Girl on the Train (trade paperback)	2016	0.2	1.6	0.6	4.3	Bestsellers		2010	2010	hawkins_the_girl_on_the_train_The_Girl_on_the_Train__trade_paperback_
0.05	0.01	0	Amor Towles	A Gentleman in Moscow	2017	0.1	0.8	0	0.9	Bestsellers		1983	1960	towles_a_gentleman_in_moscow_A_Gentleman_in_Moscow
0.05	0.04	0	Mario Puzo	The Godfather	1969	1.5	288.6	3	2.2	Genre Fiction	Mystery/Crime	1962	1975	puzo_the_godfather_The_Godfather
0.05	0.01	0	Michael Connelly	The Black Echo	1992	0	0.1	0	2	Genre Fiction	Mystery/Crime	1989	1995	connelly_the_black_echo_The_Black_Echo
0.05	0.02	0	David Baldacci	Absolute Power	1995	0	0.5	0	1	Genre Fiction	Action/Spy	1982	1985	baldacci_absolute_power_Absolute_Power
0.05	0.01	0	Arthur Golden	Memoirs of Geisha	1997	0.1	91.3	0.3	2	Genre Fiction	Romance	2005	1997	golden_memoirs_of_a_geisha_Memoirs_of_Geisha
0.05	0.02	0	Gillian Flynn	Gone Girl	2012	0.1	1.7	0.1	3	Genre Fiction	Mystery/Crime	2012	2012	flynn_gone_girl_Gone_Girl
0.05	0.01	0	Ha Jin	Waiting	1999	0	0.5	0	1	Global	Asia	1969	1985	jin_waiting_Waiting
0.05	0.01	0	William Wells Brown	Clotel: or, the President’s Daughter	1853	0.6	2.9	3	7.6	BBIP		1855	1850	brown_clotel_or_the_presidents_daughter_gutenberg_pg2046_Clotel:_or,_the_President’s_Daughter
0.05	0.03	0	Pauline E. Hopkins	Contending Forces: A Romance Illustrative of Negro Life North and South	1900	0	0	0	0.1	BBIP		1920	1895	hopkins_contending_forces_Contending_Forces:_A_Romance_Illustrative_of_Negro_Life_North_and_South
0.05	0.05	0.05	Mary Wollstonecraft	Mary: A Fiction	1788	0.1	1.4	1.2	2	pre-1923 LitBank		1798	1790	16357_mary_a_fiction
0.05	0.02	0	Virginia Woolf	Night and Day	1919	1.3	3.3	1	5	pre-1923 LitBank		1922	1920	1245_night_and_day
0.05	0.01	0	Sinclair Lewis	Main Street	1920	0.3	2.3	1	4.9	pre-1923 LitBank		1930	1930	543_main_street
0.05	0	0	Sinclair Lewis	Arrowsmith	1926	0.3	1.9	0	1.8	Pulitzer		1922	1927	lewis_arrowsmith_elmer_gantry_dodsworth_Arrowsmith
0.05	0	0	John Kennedy Toole	A Confederacy of Dunces	1981	0.9	2.1	19.8	2.1	Pulitzer		1961	1963	toole_a_confederacy_of_dunces_A_Confederacy_of_Dunces
0.05	0.03	0	Barbara Kingsolver	The Poisonwood Bible	1999	0.2	2.8	0.2	1.1	Pulitzer		1950	1959	kingsolver_the_poisonwood_bible_The_Poisonwood_Bible
0.05	0.02	0	Lydia Millet	Love in Infant Monkeys	2010	0.2	0.4	0	2	Pulitzer		1979	1980	millet_love_in_infant_monkeys_Love_in_Infant_Monkeys
0.04	0.01	0.01	Ishmael Reed	Flight to Canada	1976	0	0.1	0.1	2	BBIP		1960	1955	reed_flight_to_canada_Flight_to_Canada
0.04	0.01	0.01	Raymond Andrews	Appalachee Red	1978	0	0	0	0	BBIP		1930	1970	andrews_appalachee_red_Appalachee_Red
0.04	0.03	0.01	Daniel Panger	Black Ulysses	1982	0	0	0	0	BBIP		16th century (exact year cannot be determined as the passage is from a historical context)	1940	panger_black_ulysses_Black_Ulysses
0.04	0.02	0	Paule Marshall	Praisesong for the Widow	1983	0	0.1	0	0	BBIP		1962	1975	marshall_praisesong_for_the_widow_Praisesong_for_the_Widow
0.04	0.04	0	Octavia Butler	Imago	1989	0	0.4	0	2.7	BBIP		Uncertain (This passage appears to be from a work of science fiction and does not contain any clear indicators of a specific year.)	1987	butler_imago_Imago
0.04	0.03	0	Paul Beatty	The White Boy Shuffle	1996	0	0.7	0	0.9	BBIP		1985	2023	beatty_the_white_boy_shuffle_The_White_Boy_Shuffle
0.04	0.01	0.02	Florence Ladd	Sarah's Psalm	1996	0	0	0	0	BCALA		1986	1965	ladd_sarahs_psalm_Sarah_s_Psalm
0.04	0.02	0	Gayl Jones	The Healing	1998	0	0	0	0	BCALA		Unknown (as there is no clear indication of the time period in the passage)	1980	jones_the_healing_The_Healing
0.04	0.04	0.01	Mary Ellen Chase	Mary Peters	1934	0	0	0	0	Bestsellers		1937	1930	chase_mary_peters_Mary_Peters
0.04	0.01	0	Frances Parkinson Keyes	Joy Street	1950	0	0	0	0	Bestsellers		1930	1920	keyes_joy_street_Joy_Street
0.04	0.02	0.01	James A. Michener	The Source	1965	0	0.4	0	2	Bestsellers		1965	1970	michener_the_source_The_Source
0.04	0.03	0	Agatha Christie	And Then There Were None	1939	1.1	55.2	1.2	2	Genre Fiction	Mystery/Crime	1930	1940	christie_and_then_there_were_none_And_Then_There_Were_None
0.04	0.02	0	Raymond Chandler	The Big Sleep	1939	0.3	2.7	0	6.6	Genre Fiction	Mystery/Crime	1949	1940	chandler_the_big_sleep_The_Big_Sleep
0.04	0	0	John le Carré	The Spy Who Came In from the Cold	1963	0.5	1.9	0.2	5.4	Genre Fiction	Action/Spy	1963	1963	lecarre_the_spy_who_came_in_from_the_cold_The_Spy_Who_Came_In_from_the_Cold
0.04	0.05	0	Colleen McCullough	The Thorn Birds	1977	0.3	23.4	0.2	0.1	Genre Fiction	Romance	1952	1965	mccullough_the_thorn_birds_The_Thorn_Birds
